Option, # goals, # get-abd successes, # get-abd success %, # smt successes, #smt sucess %, # non-bool equality failures, # abd reconstructr failures, # atom unexp type failures, # non-linear failures
1,90,19,=19/90,33,=33/90,3,7,0,28
2,90,14,=14/90,33,=33/90,3,12,0,28
3,90,22,=22/90,33,=33/90,3,4,0,28
4,90,15,=15/90,33,=33/90,3,11,0,28
5,90,20,=20/90,33,=33/90,3,6,0,28
6,90,13,=13/90,33,=33/90,3,13,0,28
7,90,23,=23/90,33,=33/90,3,3,0,28
8,90,16,=16/90,33,=33/90,3,10,0,28
9,90,20,=20/90,33,=33/90,3,6,0,28
10,90,13,=13/90,33,=33/90,3,13,0,28
11,90,23,=23/90,33,=33/90,3,3,0,28
12,90,16,=16/90,33,=33/90,3,10,0,28
